Subject Name,Course Link,Discipline,SME Name,Institute
NOC:Characterization of Construction Materials,https://nptel.ac.in/courses/105/106/105106200/,Civil Engineering,Prof. Manu SanthanamProf. Piyush Chaunsali,IIT Madras
NOC:Computational hydraulics,https://nptel.ac.in/courses/105/105/105105161/,Civil Engineering,Dr. Anirban Dhar,IIT Kharagpur
NOC:Design of Masonry Structures,https://nptel.ac.in/courses/105/106/105106197/,Civil Engineering,Prof. Arun Menon,IIT Madras
NOC:Design of steel structures,https://nptel.ac.in/courses/105/105/105105162/,Civil Engineering,Prof. Damodar Maity,IIT Kharagpur
NOC:Digital Image Processing of Remote Sensing Data,https://nptel.ac.in/courses/105/107/105107160/,Civil Engineering,Dr.Arun K.Saraf,IIT Roorkee
"NOC:Digital Land Surveying And Mapping(DLS&M)
",https://nptel.ac.in/courses/105/107/105107158/,Civil Engineering,Prof. Jayanta Kumar Ghosh,IIT Roorkee
NOC:Digital elevation models and applications,https://nptel.ac.in/courses/105/107/105107174/,Civil Engineering,Prof. Arun K. Saraf,IIT Roorkee
NOC:Earth Sciences For Civil Engineering Part - I & II,https://nptel.ac.in/courses/105/104/105104152/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Earth Sciences for Civil Engineering - Part 2,https://nptel.ac.in/courses/105/104/105104156/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Earthquake Geology:A tool for Seismic Hazard Assessment,https://nptel.ac.in/courses/105/104/105104200/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Electronic Waste Management - Issues And Challenges,https://nptel.ac.in/courses/105/105/105105169/,Civil Engineering,Prof. Brajesh Kumar Dubey,IIT Kharagpur
"NOC:Energy Efficiency, Acoustics and daylighting in Building",https://nptel.ac.in/courses/105/102/105102175/,Civil Engineering,Dr. B. Bhattacharjee,IIT DELHI
NOC:Engineering Graphics,https://nptel.ac.in/courses/105/104/105104148/,Civil Engineering,Dr. Nihar Ranjan Patra,IIT Kanpur
NOC:Environmental Engineering-Chemical Processes,https://nptel.ac.in/courses/105/107/105107176/,Civil Engineering,Prof.  Bhanu Prakash Vellanki,IIT Roorkee
NOC:Environmental Geomechanics,https://nptel.ac.in/courses/105/101/105101200/,Civil Engineering,Prof. Devendra Narain Singh,IIT Bombay
NOC:Environmental Geotechnics,https://nptel.ac.in/courses/105/101/105101196/,Civil Engineering,Prof. Devendra Narain Singh,IIT Bombay
NOC:Environmental Remediation of Contaminated Sites,https://nptel.ac.in/courses/105/107/105107181/,Civil Engineering,Prof.  Bhanu Prakash Vellanki,IIT Roorkee
"NOC:Fire Protection, Services and Maintenance Management of Building",https://nptel.ac.in/courses/105/102/105102176/,Civil Engineering,Dr. B. Bhattacharjee,IIT Delhi
"NOC:Fluid Inclusion in Mineral Principles, Methodology, Practice and Application",https://nptel.ac.in/courses/105/105/105105179/,Civil Engineering,Prof. M.K.Panigrahi,IIT Kharagpur
NOC:Fluid Mechanics,https://nptel.ac.in/courses/105/103/105103192/,Civil Engineering,Dr. Subhashisa Dutta,IIT Guwahati
NOC:Foundation Design,https://nptel.ac.in/courses/105/104/105104162/,Civil Engineering,Dr. Nihar Ranjan Patra,IIT Kanpur
NOC:Foundation Engineering,https://nptel.ac.in/courses/105/105/105105176/,Civil Engineering,Prof. Koushik Deb,IIT Kharagpur
NOC:GPS SURVEYING,https://nptel.ac.in/courses/105/107/105107157/,Civil Engineering,Dr.Jayanta Kumar Ghosh,IIT Roorkee
NOC:Geo Spatial Analysis in Urban Planning,https://nptel.ac.in/courses/105/105/105105202/,Civil Engineering,Prof. Saikat Kumar Paul,IIT Kharagpur
"NOC:Geoenvironmental Engineering (Environmental Geotechnology): Landfills, Slurry Ponds & Contaminated Sites",https://nptel.ac.in/courses/105/102/105102160/,Civil Engineering,Prof. Manoj Datta,IIT Delhi
NOC:Geology and Soil Mechanics,https://nptel.ac.in/courses/105/104/105104147/,Civil Engineering,Dr. Priyanka Ghosh,IIT Kanpur
NOC:Geomorphic Processes: Landforms and Landscapes,https://nptel.ac.in/courses/105/104/105104190/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Geomorphology,https://nptel.ac.in/courses/105/107/105107200/,Civil Engineering,Prof. Pitambar Pati,IIT Roorkee
NOC:Geosynthetics Testing Laboratory,https://nptel.ac.in/courses/105/101/105101176/,Civil Engineering,Prof. J. N. Mandal,IIT Bombay
NOC:Geosynthetics and Reinforced Soil Structures,https://nptel.ac.in/courses/105/106/105106052/,Civil Engineering,Dr. K. Rajagopal,IIT Madras
NOC:Geotechnical Engineering - 1,https://nptel.ac.in/courses/105/101/105101201/,Civil Engineering,Prof. Devendra Narain Singh,IIT Bombay
NOC:Geotechnical Engineering II Foundation Engineering,https://nptel.ac.in/courses/105/105/105105185/,Civil Engineering,Prof. Dilip Kumar Baidya,IIT Kharagpur
NOC:Geotechnical engineering laboratory,https://nptel.ac.in/courses/105/101/105101160/,Civil Engineering,Prof. J. N. Mandal,IIT Bombay
NOC:Glass Processing Technology,https://nptel.ac.in/courses/105/106/105106178/,Civil Engineering,Prof. K.N. Satyanarayana,IIT Madras
NOC:Glass in buildings: ï¿½Design and Application,https://nptel.ac.in/courses/105/106/105106177/,Civil Engineering,Prof. K.N. Satyanarayana,IIT Madras
NOC:Global Navigation Satellite Systems And Applications,https://nptel.ac.in/courses/105/107/105107194/,Civil Engineering,Prof. Arun K. Saraf,IIT Roorkee
NOC:Higher Surveying,https://nptel.ac.in/courses/105/103/105103176/,Civil Engineering,Prof.  Ajay Dashora,IIT Guwahati
"NOC:Hydration, Porosity and Strength of Cementitious Materials",https://nptel.ac.in/courses/105/104/105104157/,Civil Engineering,Dr. Satyaki RoyDr. Sudhir Misra,IIT Kanpur
NOC:Hydraulic Engineering,https://nptel.ac.in/courses/105/105/105105203/,Civil Engineering,Prof. Mohammad Saud Afzal,IIT Kharagpur
NOC:Infrastructure Planning and Managements,https://nptel.ac.in/courses/105/106/105106188/,Civil Engineering,Dr. Ashwin Mahalingam,IIT Madras
NOC:Integrated Waste Management for a Smart City,https://nptel.ac.in/courses/105/105/105105160/,Civil Engineering,Prof. Brajesh Kumar Dubey,IIT Kharagpur
NOC:Introduction to Accounting and Finance for Civil Engineers,https://nptel.ac.in/courses/105/104/105104178/,Civil Engineering,Dr. Sudhir Misra,IIT Kanpur
NOC:Introduction to Civil Engineering Profession,https://nptel.ac.in/courses/105/106/105106201/,Civil Engineering,Dr. Ravindra GettuProf. Subhadeep Banerjee,IIT Madras
NOC:Introduction to Geographic Information Systems,https://nptel.ac.in/courses/105/107/105107155/,Civil Engineering,Dr.Arun K.Saraf,IIT Roorkee
NOC:Introduction to Mineral Processing,https://nptel.ac.in/courses/105/105/105105171/,Civil Engineering,Prof. Arun Kumar Majumder,IIT Kharagpur
NOC:Maintenance and Repair of Concrete Structures,https://nptel.ac.in/courses/105/106/105106202/,Civil Engineering,Prof. Radhakrishna G. Pillai,IIT Madras
NOC:Matrix Method of Structural Analysis,https://nptel.ac.in/courses/105/105/105105180/,Civil Engineering,Prof.  Biswanath BanjerjeeProf. Amit Shaw,IIT Kharagpur
NOC:Mechanical Characterization of Bituminous Materials,https://nptel.ac.in/courses/105/106/105106203/,Civil Engineering,Dr. J. Murali KrishnanProf. M. R. Nivitha (MRN)Prof. Neethu Roy(NR)Prof. A. Padmarekha(APR),IIT Madras
NOC:Mechanics of Materials,https://nptel.ac.in/courses/105/106/105106172/,Civil Engineering,Dr. U. Saravanan,IIT Madras
NOC:Mechanics of Solids,https://nptel.ac.in/courses/105/104/105104160/,Civil Engineering,Dr. Priyanka Ghosh,IIT Kanpur
"NOC:Mineral Resources: Geology, Exploration, Economics And Environment",https://nptel.ac.in/courses/105/105/105105170/,Civil Engineering,Prof. M.K.Panigrahi,IIT Kharagpur
NOC:Natural Hazards - Part-1,https://nptel.ac.in/courses/105/104/105104183/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Photogeology In Terrain Evaluation,https://nptel.ac.in/courses/105/104/105104167/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Photogeology In Terrain Evaluation (Part 2),https://nptel.ac.in/courses/105/104/105104177/,Civil Engineering,Prof. Javed N. Malik,IIT Kanpur
NOC:Plastic Waste Management,https://nptel.ac.in/courses/105/105/105105184/,Civil Engineering,Prof. Brajesh Kumar Dubey,IIT Kharagpur
NOC:Principles and Applications of Building Science,https://nptel.ac.in/courses/105/107/105107156/,Civil Engineering,Dr. E. Rajasekar,IIT Roorkee
NOC:Principles of Construction Management,https://nptel.ac.in/courses/105/104/105104161/,Civil Engineering,Dr. Sudhir Misra,IIT Kanpur
NOC:Probability Methods in Civil Engineering,https://nptel.ac.in/courses/105/105/105105150/,Civil Engineering,Dr. Rajib Maity,IIT Kharagpur
NOC:Project Planning & Control(Course sponsored by Aricent),https://nptel.ac.in/courses/105/106/105106149/,Civil Engineering,Dr. Koshy Varghese,IIT Madras
NOC:Reinforced Concrete Road Bridges,https://nptel.ac.in/courses/105/105/105105165/,Civil Engineering,Prof. Nirjhar Dhang,IIT Kharagpur
NOC:Remote Sensing Essentials,https://nptel.ac.in/courses/105/107/105107201/,Civil Engineering,Dr.Arun K.Saraf,IIT Roorkee
NOC:Remote Sensing and GIS,https://nptel.ac.in/courses/105/103/105103193/,Civil Engineering,Prof. Rishikesh Bharti,IIT Guwahati
NOC:Scheduling Techniques in Projects,https://nptel.ac.in/courses/105/102/105102199/,Civil Engineering,Prof. J. Uma Maheswari,IIT Delhi
NOC:Soil Mechanics/Geotechnical Engineering I,https://nptel.ac.in/courses/105/105/105105168/,Civil Engineering,Prof. Dilip Kumar Baidya,IIT Kharagpur
NOC:Soil Structure Interaction,https://nptel.ac.in/courses/105/105/105105200/,Civil Engineering,Prof. Koushik Deb,IIT Kharagpur
NOC:Structural Dynamics,https://nptel.ac.in/courses/105/106/105106151/,Civil Engineering,Prof. Ramancharala Pradeep Kumar,IIT Madras
NOC:Structural Dynamics for Civil Engineers - SDOF systems,https://nptel.ac.in/courses/105/104/105104189/,Civil Engineering,Prof. Riya Catherine George,IIT Kanpur
NOC:Structural Geology,https://nptel.ac.in/courses/105/104/105104191/,Civil Engineering,Prof. Santanu Misra,IIT Kanpur
NOC:Structural analysis I,https://nptel.ac.in/courses/105/105/105105166/,Civil Engineering,Prof. Amit Shaw,IIT Kharagpur
NOC:Subsurface exploration :importance and techniques involved,https://nptel.ac.in/courses/105/103/105103182/,Civil Engineering,Prof. Abhishek Kumar,IIT Guwahati
NOC:Sustainable Engineering Concepts And Life Cycle Analysis,https://nptel.ac.in/courses/105/105/105105157/,Civil Engineering,Prof. Brajesh Kumar Dubey,IIT Kharagpur
NOC:Sustainable Materials and Green Buildings,https://nptel.ac.in/courses/105/102/105102195/,Civil Engineering,Dr. B. Bhattacharjee,IIT Delhi
NOC:Sustainable River Basin Management,https://nptel.ac.in/courses/105/106/105106145/,Civil Engineering,Dr. Franziska Steinbruch,IIT Madras
NOC:Theory of Elasticity,https://nptel.ac.in/courses/105/105/105105177/,Civil Engineering,Prof.  Biswanath BanjerjeeProf. Amit Shaw,IIT Kharagpur
NOC:Unsaturated Soil Mechanics,https://nptel.ac.in/courses/105/103/105103177/,Civil Engineering,Dr. Tadikonda Venkata Bharat,IIT Guwahati
NOC:Visual Semiotics for Visual Communication,https://nptel.ac.in/courses/105/105/105105156/,Civil Engineering,Prof. Mainak Ghosh,IIT Kharagpur
NOC:Wastewater Treatment and Recycling,https://nptel.ac.in/courses/105/105/105105178/,Civil Engineering,Prof. Manoj Kumar Tiwari,IIT Kharagpur
NOC:Water Supply Engineering,https://nptel.ac.in/courses/105/105/105105201/,Civil Engineering,Prof. Manoj Kumar Tiwari,IIT Kharagpur
Numerical Methods in Civil Engineering,https://nptel.ac.in/courses/105/105/105105043/,Civil Engineering,Dr. A. Deb,IIT Kharagpur
Optimization Methods,https://nptel.ac.in/courses/105/108/105108127/,Civil Engineering,Dr. D. Nagesh Kumar,IISc Bangalore
Pre-stressed Concrete Structures,https://nptel.ac.in/courses/105/106/105106117/,Civil Engineering,Prof. Devdas MenonDr. Amlan Kumar Sengupta,IIT Madras
Pre-stressed Concrete Structures,https://nptel.ac.in/courses/105/106/105106118/,Civil Engineering,Prof. Devdas MenonDr. Amlan Kumar Sengupta,IIT Madras
Probability Methods in Civil Engineering,https://nptel.ac.in/courses/105/103/105103027/,Civil Engineering,Dr. C. Mallikarjuna,IIT Guwahati
Probability Methods in Civil Engineering,https://nptel.ac.in/courses/105/105/105105138/,Civil Engineering,Dr. Rajib Maity,IIT Kharagpur
Probability Methods in Civil Engineering,https://nptel.ac.in/courses/105/105/105105045/,Civil Engineering,Dr. Rajib Maity,IIT Kharagpur
Reliability Engineering,https://nptel.ac.in/courses/105/108/105108128/,Civil Engineering,Dr. G.L. Sivakumar Babu,IISc Bangalore
Remote Sensing,https://nptel.ac.in/courses/105/108/105108077/,Civil Engineering,Dr. D. Nagesh Kumar,IISc Bangalore
Rock Engineering,https://nptel.ac.in/courses/105/106/105106055/,Civil Engineering,Dr. V.B. Maji,IIT Madras
Seismic Analysis of Structures,https://nptel.ac.in/courses/105/102/105102016/,Civil Engineering,Dr. T.K. DattaDr. Ashok Gupta,IIT Delhi
Site Characterisation & Instrumentation,https://nptel.ac.in/courses/105/108/105108078/,Civil Engineering,Dr. P. Anbazhagan,IISc Bangalore
Soil Dynamics,https://nptel.ac.in/courses/105/101/105101005/,Civil Engineering,Dr. Deepankar Choudhury,IIT Bombay
Soil Dynamics,https://nptel.ac.in/courses/105/107/105107066/,Civil Engineering,Dr. S. Mittal,IIT Roorkee
Soil Mechanics,https://nptel.ac.in/courses/105/101/105101084/,Civil Engineering,Dr. B.V.S. Viswanadham,IIT Bombay
Soil Mechanics,https://nptel.ac.in/courses/105/103/105103097/,Civil Engineering,Prof. Baleshwar Singh,IIT Guwahati
Solid & Hazardous Waste Management,https://nptel.ac.in/courses/105/106/105106056/,Civil Engineering,Dr. Indumathi Nambi,IIT Madras
Stochastic Hydrology,https://nptel.ac.in/courses/105/108/105108079/,Civil Engineering,Prof. P.P. Mujumdar,IISc Bangalore
Stochastic Structural Dynamics,https://nptel.ac.in/courses/105/108/105108080/,Civil Engineering,Prof. C.S. Manohar,IISc Bangalore
Strength of Materials,https://nptel.ac.in/courses/105/105/105105108/,Civil Engineering,Prof. S.K. Bhattacharyya,IIT Kharagpur
Structural Analysis I,https://nptel.ac.in/courses/105/101/105101085/,Civil Engineering,Dr. Siddhartha GhoshDr. R.S. Jangid,IIT Bombay
Structural Analysis II,https://nptel.ac.in/courses/105/101/105101086/,Civil Engineering,Dr. P. Banerji,IIT Bombay
Structural Analysis II,https://nptel.ac.in/courses/105/105/105105109/,Civil Engineering,Prof. L.S. RamachandraProf. Sudhir Kumar Barai,IIT Kharagpur
Structural Dynamics,https://nptel.ac.in/courses/105/101/105101006/,Civil Engineering,Dr. P. Banerji,IIT Bombay
Structural Reliability,https://nptel.ac.in/courses/105/103/105103140/,Civil Engineering,Dr. Arunasis Chakraborty,IIT Guwahati
Surveying,https://nptel.ac.in/courses/105/104/105104101/,Civil Engineering,Dr. Bharat Lohani,IIT Kanpur
Surveying,https://nptel.ac.in/courses/105/107/105107122/,Civil Engineering,Prof. J.K. Ghosh,IIT Roorkee
Traffic Engineering & Management,https://nptel.ac.in/courses/105/101/105101008/,Civil Engineering,Dr. Tom V Mathew,IIT Bombay
Transportation Engineering I,https://nptel.ac.in/courses/105/101/105101087/,Civil Engineering,Dr. Tom V Mathew,IIT Bombay
Transportation Engineering II,https://nptel.ac.in/courses/105/107/105107123/,Civil Engineering,Prof. Rajat Rastogi,IIT Roorkee
Unsaturated Soil Mechanics,https://nptel.ac.in/courses/105/103/105103139/,Civil Engineering,Dr. Tadikonda Venkata Bharat,IIT Guwahati
Urban transportation planning,https://nptel.ac.in/courses/105/106/105106058/,Civil Engineering,Dr. V. Thamizh Arasan,IIT Madras
Urban transportation planning,https://nptel.ac.in/courses/105/107/105107067/,Civil Engineering,Dr. M. Parida,IIT Roorkee
Wastewater management,https://nptel.ac.in/courses/105/105/105105048/,Civil Engineering,Dr. M.M. Ghangrekar,IIT Kharagpur
Water Management,https://nptel.ac.in/courses/105/102/105102159/,Civil Engineering,Dr. A.K. Gosain,IIT Delhi
Water Resources Engineering,https://nptel.ac.in/courses/105/105/105105110/,Civil Engineering,Dr. Dhrubajyoti Sen,IIT Kharagpur
Water Resources Systems : Modeling Techniques and Analysis,https://nptel.ac.in/courses/105/108/105108130/,Civil Engineering,Prof. P.P. Mujumdar,IISc Bangalore
Water Resources Systems Planning and Management,https://nptel.ac.in/courses/105/108/105108081/,Civil Engineering,Dr. D. Nagesh Kumar,IISc Bangalore
Water and Waste Water Engineering,https://nptel.ac.in/courses/105/104/105104102/,Civil Engineering,Dr. P. Bose,IIT Kanpur
Water and Waste Water Engineering,https://nptel.ac.in/courses/105/106/105106119/,Civil Engineering,Prof. B.S. MurtyProf. C. VenkobacharProf. Ligy Philip,IIT Madras
Watershed Management,https://nptel.ac.in/courses/105/101/105101010/,Civil Engineering,Dr. T.I. Eldho,IIT Bombay
Artificial Intelligence,https://nptel.ac.in/courses/106/105/106105077/,Computer Science and  Engineering,Prof. S. SarkarProf. Anupam Basu,IIT Kharagpur
Artificial Intelligence,https://nptel.ac.in/courses/106/105/106105078/,Computer Science and  Engineering,Prof. P. MitraProf. S. Sarkar,IIT Kharagpur
Artificial Intelligence(Prof.P.Dasgupta),https://nptel.ac.in/courses/106/105/106105079/,Computer Science and  Engineering,Prof. P. Dasgupta,IIT Kharagpur
Artificial Intelligence: Search Methods for Problem Solving,https://nptel.ac.in/courses/106/106/106106126/,Computer Science and  Engineering,Prof. Deepak Khemani,IIT Madras
Biometrics,https://nptel.ac.in/courses/106/104/106104119/,Computer Science and  Engineering,Prof. Phalguni Gupta,IIT Kanpur
CAD for VLSI Design I,https://nptel.ac.in/courses/106/106/106106088/,Computer Science and  Engineering,Prof. V. KamakotiProf. Shankar Balachandran,IIT Madras
CAD for VLSI Design II,https://nptel.ac.in/courses/106/106/106106089/,Computer Science and  Engineering,Prof. V. KamakotiProf. Shankar Balachandran,IIT Madras
Combinatorics,https://nptel.ac.in/courses/106/108/106108051/,Computer Science and  Engineering,Dr. L. Sunil Chandran,IISc Bangalore
Compiler Design,https://nptel.ac.in/courses/106/108/106108052/,Computer Science and  Engineering,Prof. Y.N. Srikanth,IISc Bangalore
Compiler Design,https://nptel.ac.in/courses/106/104/106104123/,Computer Science and  Engineering,Prof. Sanjeev K Aggarwal,IIT Kanpur
Compiler Design,https://nptel.ac.in/courses/106/104/106104072/,Computer Science and  Engineering,Prof. Sanjeev K Aggarwal,IIT Kanpur
Computational Geometry,https://nptel.ac.in/courses/106/102/106102011/,Computer Science and  Engineering,Prof. Sandeep Sen,IIT Delhi
Computational Number Theory & Cryptography,https://nptel.ac.in/courses/106/103/106103015/,Computer Science and  Engineering,Dr. Pinaki Mitra,IIT Guwahati
Computer Algorithms - 2,https://nptel.ac.in/courses/106/104/106104019/,Computer Science and  Engineering,Prof. Shashank K. Mehta,IIT Kanpur
Computer Architecture,https://nptel.ac.in/courses/106/102/106102062/,Computer Science and  Engineering,Prof. Anshul Kumar,IIT Delhi
Computer Architecture,https://nptel.ac.in/courses/106/104/106104122/,Computer Science and  Engineering,Dr. Mainak Chaudhuri,IIT Kanpur
Computer Graphics,https://nptel.ac.in/courses/106/102/106102063/,Computer Science and  Engineering,Prof. Prem K Kalra,IIT Delhi
Computer Graphics,https://nptel.ac.in/courses/106/106/106106090/,Computer Science and  Engineering,Prof. Sukhendu Das,IIT Madras
Computer Networks,https://nptel.ac.in/courses/106/105/106105080/,Computer Science and  Engineering,Prof. Ajit Pal,IIT Kharagpur
Computer Networks,https://nptel.ac.in/courses/106/105/106105081/,Computer Science and  Engineering,Prof. Sujoy Ghosh,IIT Kharagpur
Computer Networks,https://nptel.ac.in/courses/106/106/106106091/,Computer Science and  Engineering,Prof. Hema A Murthy,IIT Madras
Computer Organisation and Architecture,https://nptel.ac.in/courses/106/104/106104073/,Computer Science and  Engineering,Prof. Bhaskaran Raman,IIT Kanpur
Computer Organization,https://nptel.ac.in/courses/106/106/106106092/,Computer Science and  Engineering,Prof. S. Raman,IIT Madras
Computer Organization and Architecture,https://nptel.ac.in/courses/106/103/106103068/,Computer Science and  Engineering,Prof. Jatindra Kumar Deka,IIT Guwahati
Cryptography and Network Security,https://nptel.ac.in/courses/106/105/106105031/,Computer Science and  Engineering,Dr. Debdeep Mukhopadhyay,IIT Kharagpur
Data Communication,https://nptel.ac.in/courses/106/105/106105082/,Computer Science and  Engineering,Prof. Ajit Pal,IIT Kharagpur
Data Communications,https://nptel.ac.in/courses/106/108/106108098/,Computer Science and  Engineering,Prof. H.S. Jamadagni,IISc Bangalore
Data Structures And Algorithms,https://nptel.ac.in/courses/106/102/106102064/,Computer Science and  Engineering,Prof. Naveen Garg,IIT Delhi
Data Structures and Program Methodology,https://nptel.ac.in/courses/106/103/106103069/,Computer Science and  Engineering,Dr. Pradip K DasDr. S.V. Rao,IIT Guwahati
Database Design,https://nptel.ac.in/courses/106/106/106106093/,Computer Science and  Engineering,Dr. S. SrinathProf. D. Janaki Ram,IIT Madras
Design Verification and Test of Digital VLSI Circuits,https://nptel.ac.in/courses/106/103/106103116/,Computer Science and  Engineering,Dr. Santosh BiswasProf. Jatindra Kumar Deka,IIT Guwahati
Design and Analysis of Algorithms,https://nptel.ac.in/courses/106/101/106101059/,Computer Science and  Engineering,Prof. Sundar ViswanathanProf. Ajit A DiwanProf. Abhiram G Ranade,IIT Bombay
Design and Analysis of Algorithms,https://nptel.ac.in/courses/106/101/106101060/,Computer Science and  Engineering,Prof. Sundar ViswanathanProf. Ajit A DiwanProf. Abhiram G Ranade,IIT Bombay
Digital Image Processing,https://nptel.ac.in/courses/106/105/106105032/,Computer Science and  Engineering,Dr. G. Harit,IIT Kharagpur
Digital Systems,https://nptel.ac.in/courses/106/108/106108099/,Computer Science and  Engineering,Prof. N.J. Rao,IISc Bangalore
Discrete Mathematical Structures,https://nptel.ac.in/courses/106/106/106106094/,Computer Science and  Engineering,Prof. Kamala Krithivasan,IIT Madras
Distributed Computing Systems,https://nptel.ac.in/courses/106/106/106106107/,Computer Science and  Engineering,Prof. Ananthanarayana V.S,IIT Madras
Electronic Design Automation,https://nptel.ac.in/courses/106/105/106105083/,Computer Science and  Engineering,Prof. Indranil Sengupta,IIT Kharagpur
Fundamental Algorithms:Design and Analysis,https://nptel.ac.in/courses/106/105/106105157/,Computer Science and  Engineering,Prof.Sourav Mukhopadhyay,IIT Kharagpur
Graph Theory,https://nptel.ac.in/courses/106/108/106108054/,Computer Science and  Engineering,Dr. L. Sunil Chandran,IISc Bangalore
High Performance Computer Architecture,https://nptel.ac.in/courses/106/105/106105033/,Computer Science and  Engineering,Prof. Ajit Pal,IIT Kharagpur
High Performance Computing,https://nptel.ac.in/courses/106/108/106108055/,Computer Science and  Engineering,Prof. Mathew Jacob,IISc Bangalore
Human-Computer Interaction,https://nptel.ac.in/courses/106/103/106103115/,Computer Science and  Engineering,Pradeep P YammiyavarDr.Samit Bhattacharya,IIT Guwahati
Indexing and Searching Techniques in Databases,https://nptel.ac.in/courses/106/104/106104021/,Computer Science and  Engineering,Dr. Arnab Bhattacharya,IIT Kanpur
Internet Technology,https://nptel.ac.in/courses/106/105/106105084/,Computer Science and  Engineering,Prof. Indranil Sengupta,IIT Kharagpur
Introduction to Computer Graphics,https://nptel.ac.in/courses/106/102/106102065/,Computer Science and  Engineering,Prof. Prem K Kalra,IIT Delhi
Introduction to Database Systems and Design,https://nptel.ac.in/courses/106/106/106106095/,Computer Science and  Engineering,Prof. P.Sreenivasa Kumar,IIT Madras
Introduction to Problem Solving and Programming,https://nptel.ac.in/courses/106/102/106102066/,Computer Science and  Engineering,Prof. S. Arun Kumar,IIT Delhi
Introduction to Problem Solving and Programming,https://nptel.ac.in/courses/106/104/106104074/,Computer Science and  Engineering,Prof. D. Gupta,IIT Kanpur
Logic for CS,https://nptel.ac.in/courses/106/102/106102013/,Computer Science and  Engineering,Prof. S. Arun Kumar,IIT Delhi
Low Power VLSI Circuits & Systems,https://nptel.ac.in/courses/106/105/106105034/,Computer Science and  Engineering,Prof. Ajit Pal,IIT Kharagpur
Microprocessors and Microcontrollers,https://nptel.ac.in/courses/106/108/106108100/,Computer Science and  Engineering,Prof. Krishna Kumar,IISc Bangalore
"NOC:2016: Programming, Data structures and Algorithms",https://nptel.ac.in/courses/106/106/106106133/,Computer Science and  Engineering,Dr. N S. NarayanaswamyProf. Shankar BalachandranProf. Hema A Murthy,IIT Madras
NOC:AI:Constraint Satisfaction,https://nptel.ac.in/courses/106/106/106106158/,Computer Science and  Engineering,Prof. Deepak Khemani,IIT Madras
NOC:Advanced Computer Architecture,https://nptel.ac.in/courses/106/103/106103206/,Computer Science and  Engineering,Prof.  John Jose,IIT Guwahati
NOC:Advanced Graph Theory,https://nptel.ac.in/courses/106/104/106104170/,Computer Science and  Engineering,Dr.Rajiv Misra,IIT Patna
NOC:Algorithms for Big Data,https://nptel.ac.in/courses/106/106/106106142/,Computer Science and  Engineering,Prof. John Augustine,IIT Madras
NOC:An Introduction To Programming Through C++,https://nptel.ac.in/courses/106/101/106101208/,Computer Science and  Engineering,Prof. Abhiram G Ranade,IIT Bombay
NOC:An Introduction to Artificial Intelligence,https://nptel.ac.in/courses/106/102/106102220/,Computer Science and  Engineering,Prof. Mausam,IIT Delhi
NOC:An Introduction to Probability in Computing,https://nptel.ac.in/courses/106/106/106106176/,Computer Science and  Engineering,Prof. John Augustine,IIT Madras
NOC:Applied Natural Language Processing,https://nptel.ac.in/courses/106/106/106106211/,Computer Science and  Engineering,Prof. Ramaseshan R,IIT Madras
NOC:Arithmetic Circuit Complexity,https://nptel.ac.in/courses/106/104/106104221/,Computer Science and  Engineering,Prof. Nitin Saxena,IIT Kanpur
NOC:Artificial Intelligence: Knowledge Representation and Reasoning ,https://nptel.ac.in/courses/106/106/106106140/,Computer Science and  Engineering,Prof. Deepak Khemani,IIT Madras
NOC:Big Data Computing,https://nptel.ac.in/courses/106/104/106104189/,Computer Science and  Engineering,Dr. Rajiv Misra,IIT Patna
NOC:Blockchain Architecture Design and Use Cases,https://nptel.ac.in/courses/106/105/106105184/,Computer Science and  Engineering,Praveen JayachandranProf.  Sandip Chakraborty,IIT Kharagpur
NOC:C Programming and Assembly Language,https://nptel.ac.in/courses/106/106/106106210/,Computer Science and  Engineering,Prof. Janakiraman Viraraghavan,IIT Madras
NOC:Cloud Computing and Distributed Systems,https://nptel.ac.in/courses/106/104/106104182/,Computer Science and  Engineering,Dr.Rajiv Misra,IIT Kanpur
NOC:Cloud computing,https://nptel.ac.in/courses/106/105/106105167/,Computer Science and  Engineering,Prof. Soumya Kanti Ghosh,IIT Kharagpur
NOC:Compiler Design,https://nptel.ac.in/courses/106/105/106105190/,Computer Science and  Engineering,Prof. Santanu Chattopadhyay,IIT Kharagpur
NOC:Complex Network : Theory and Application,https://nptel.ac.in/courses/106/105/106105154/,Computer Science and  Engineering,Prof. Animesh Mukherjee,IIT Kharagpur
NOC:Computer Architecture,https://nptel.ac.in/courses/106/102/106102157/,Computer Science and  Engineering,Prof. Smruti R.Sarangi,IIT Delhi
NOC:Computer Architecture(Course sponsored by Aricent),https://nptel.ac.in/courses/106/106/106106134/,Computer Science and  Engineering,Prof.Madhu Mutyam,IIT Madras
NOC:Computer Networks and Internet Protocol,https://nptel.ac.in/courses/106/105/106105183/,Computer Science and  Engineering,Prof.  Sandip ChakrabortyProf. Soumya Kanti Ghosh,IIT Kharagpur
